loadcase,node_id,label,mass,x,y,z,fx,fy,fz
LC200245,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.06217762572031104,-0.0,-17.759713644
LC200245,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.0025207552,-0.0,-0.72
LC200245,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,-0.01111254444057584,-0.0,-3.1740614865000003
LC200245,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,-0.03273526998828576,-0.0,-9.350132211
LC200245,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,-0.0072471712,-0.0,-2.0700000000000003
LC200245,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,-0.11685535373559168,-0.0,-33.377241348
LC200245,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,-0.341877424,-0.0,-97.64999999999999
LC200245,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,-0.08808612868764383,-0.0,-25.159925348999998
LC200420,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.00026756613000000003,-0.0,-0.5799210730300001
LC200420,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.056634085644024605,-0.0,-122.74834530347944
LC200420,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-6.174602999999999e-05,-0.0,-0.13382793993
LC200420,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.007402051949602815,-0.0,-16.043158785596177
LC200420,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,-0.006031042337948445,-0.0,-13.071641556845861
LC200420,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.008122902307065432,-0.0,-17.605525116468396
LC200420,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.00032931216,-0.0,-0.71374901296
LC200420,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,-0.001451745894572397,-0.0,-3.1465045181440634
LC200420,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,-0.004276544770402758,-0.0,-9.268955050898269
LC200420,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,-0.00094677246,-0.0,-2.0520284122600003
LC200420,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,-0.015266015893265544,-0.0,-33.0874625936982
LC200420,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,-0.044662961699999996,-0.0,-96.8022098827
LC200420,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,-0.011507596336274921,-0.0,-24.94148872777227
LC400249,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.00172938766,-0.0,0.39
LC400249,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.3660489048003172,-0.0,82.54891380000001
LC400249,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-0.00039908946,-0.0,0.09
LC400249,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.04784244291428833,-0.0,10.789109445000001
LC400249,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,-0.03898105562234499,-0.0,8.790748335
LC400249,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.052501589095841426,-0.0,11.839809096
LC400249,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.00212847712,-0.0,0.48
LC400249,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,-0.009383218404845054,-0.0,2.116040991
LC400249,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,-0.027641031222345156,-0.0,6.233421474
LC400249,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,-0.00611937172,-0.0,1.3800000000000001
LC400249,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,-0.0986704090804666,-0.0,22.251494232
LC400249,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,-0.2886747094,-0.0,65.1
LC400249,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,-0.39908946,-0.0,90.0
LC400249,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,-0.07437822978646459,-0.0,16.773283566
LC500038,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,0.0011570859300000002,-0.0,0.39
LC500038,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,0.24491329921734065,-0.0,82.54891380000001
LC500038,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,0.00026701983,-0.0,0.09
LC500038,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,0.03201006855394772,-0.0,10.789109445000001
LC500038,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,0.026081156955383145,-0.0,8.790748335
LC500038,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,0.035127375689404154,-0.0,11.839809096
LC500038,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,0.0014241057600000002,-0.0,0.48
LC500038,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,0.006278054507665018,-0.0,2.116040991
LC500038,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,0.01849385713673144,-0.0,6.233421474
LC500038,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,0.004094304060000001,-0.0,1.3800000000000001
LC500038,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,0.0660176689674958,-0.0,22.251494232
LC500038,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,0.1931443437,-0.0,65.1
LC500038,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,0.26701983,-0.0,90.0
LC500038,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,0.04976443695927904,-0.0,16.773283566
LC500040,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,0.00095656093,-0.0,0.39
LC500040,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,0.2024693993718406,-0.0,82.54891380000001
LC500040,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,0.00022074483,-0.0,0.09
LC500040,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,0.026462668114310216,-0.0,10.789109445000001
LC500040,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,0.021561247186470643,-0.0,8.790748335
LC500040,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,0.029039740512544154,-0.0,11.839809096
LC500040,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,0.00117730576,-0.0,0.48
LC500040,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,0.005190056764792518,-0.0,2.116040991
LC500040,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,0.01528883959551644,-0.0,6.233421474
LC500040,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,0.0033847540600000004,-0.0,1.3800000000000001
LC500040,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,0.054576692349875784,-0.0,22.251494232
LC500040,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,0.1596720937,-0.0,65.1
LC500040,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,0.22074483,-0.0,90.0
LC500040,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,0.04114017365909404,-0.0,16.773283566
LC500042,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,0.00130322478,-0.0,0.39
LC500042,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,0.2758456154519076,-0.0,82.54891380000001
LC500042,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,0.00030074418,-0.0,0.09
LC500042,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,0.036052909699630896,-0.0,10.789109445000001
LC500042,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,0.029375182217732672,-0.0,8.790748335
LC500042,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,0.039563929754811794,-0.0,11.839809096
LC500042,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,0.0016039689600000002,-0.0,0.48
LC500042,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,0.007070966807607583,-0.0,2.116040991
LC500042,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,0.02082961366436135,-0.0,6.233421474
LC500042,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,0.00461141076,-0.0,1.3800000000000001
LC500042,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,0.07435563762863967,-0.0,22.251494232
LC500042,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,0.2175382902,-0.0,65.1
LC500042,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,0.30074418,-0.0,90.0
LC500042,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,0.056049637910712734,-0.0,16.773283566
LC500049,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,0.00048124739,-0.0,0.39
LC500049,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,0.1018626905476538,-0.0,82.54891380000001
LC500049,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,0.00011105709,-0.0,0.09
LC500049,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,0.013313412207257945,-0.0,10.789109445000001
LC500049,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,0.010847499211193833,-0.0,8.790748335
LC500049,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,0.014609941603969896,-0.0,11.839809096
LC500049,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,0.00059230448,-0.0,0.48
